,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
174,40.0,1.0,PE,16.0,0.0,1.0,2500.0,3.0,1.0,7.0,4.0,7.0,5.0,1.0,7.0,3.0,2.0,7.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,83.0,3,7.0,7.0,0.6666666666666666
175,65.0,0.0,PE,12.0,0.0,1.0,4500.0,2.0,2.0,7.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,76.5,3,7.0,7.0,0.0
176,25.0,1.0,PE,14.0,1.0,1.0,6500.0,3.0,3.0,7.0,3.0,2.0,4.0,2.0,2.0,6.0,4.0,7.0,7.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,3,7.0,7.0,0.0
177,68.0,1.0,PE,12.0,1.0,0.0,1500.0,5.0,4.0,7.0,6.0,7.0,4.0,4.0,7.0,3.0,3.0,7.0,7.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,90.0,3,7.0,7.0,0.2
178,33.0,1.0,PE,12.0,1.0,1.0,1500.0,4.0,3.0,5.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,42.5,3,5.0,4.0,0.25
179,34.0,1.0,PE,16.0,0.0,1.0,10000.0,3.0,2.0,7.0,2.0,3.0,4.0,7.0,7.0,2.0,7.0,7.0,7.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,97.0,3,7.0,7.0,0.3333333333333333
180,46.0,0.0,PE,14.0,0.0,1.0,6500.0,4.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,91.5,3,7.0,7.0,0.5
181,35.0,0.0,RJ,12.0,1.0,1.0,1500.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,6.0,4.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,76.0,3,7.0,7.0,0.4
182,20.0,1.0,CE,12.0,1.0,1.0,1500.0,5.0,2.0,0.0,3.0,7.0,4.0,6.0,6.0,5.0,4.0,7.0,5.0,4.0,2.0,1.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,3,3.0,7.0,0.6
183,31.0,1.0,CE,16.0,1.0,1.0,1500.0,4.0,3.0,7.0,4.0,7.0,2.0,5.0,3.0,0.0,7.0,7.0,7.0,2.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,3,7.0,3.0,0.25
