Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
310;370;10;MG;120;10;0;15000;30;0;70;10;10;10;0;70;20;0;50;20;10;20;50;50;20;50;30;40;20;10;30;10;0;0;0;0;0;10;495;3;70;70;10
311;500;10;SC;160;10;10;25000;10;10;30;20;30;70;50;70;20;40;0;50;40;50;30;50;20;30;40;50;40;10;20;10;0;0;0;10;0;20;775;3;50;70;0
312;530;10;DF;160;10;10;100000;30;30;70;70;70;70;70;70;70;70;70;70;20;30;50;50;40;40;50;50;40;40;50;10;0;0;0;0;0;10;1120;3;70;70;0
313;350;10;SP;160;0;10;45000;40;30;70;70;70;0;70;70;70;70;0;70;40;50;50;40;30;50;10;30;40;40;50;10;0;0;0;0;0;10;1015;3;70;70;25
314;300;10;MG;120;10;10;25000;40;20;70;70;70;70;70;70;20;70;70;70;30;40;30;30;30;30;30;40;30;30;20;10;10;0;10;10;0;40;1120;3;70;70;5
315;420;10;BA;160;10;10;65000;10;10;70;70;30;70;40;70;70;70;70;70;20;10;50;50;40;50;40;10;40;20;10;10;10;0;10;10;0;40;970;3;70;70;0
316;500;0;SP;160;0;10;135000;30;20;70;40;40;30;70;60;30;70;70;40;40;30;40;40;30;40;20;20;40;20;30;10;0;0;10;10;0;30;975;3;70;70;3,33333E+15
317;530;10;GO;160;10;10;45000;30;30;50;10;50;50;50;50;0;20;0;50;30;30;20;30;20;30;40;30;10;10;20;10;0;0;0;0;0;10;675;3;60;50;0
318;610;0;SP;160;10;0;45000;10;0;50;0;30;30;60;20;50;40;30;50;20;50;40;40;20;40;40;40;20;10;40;10;0;0;0;0;0;10;760;3;50;70;10
319;540;0;RS;120;0;10;45000;30;30;70;50;50;40;30;50;50;50;40;40;20;20;30;40;30;30;40;40;20;20;30;10;10;0;0;10;0;30;880;3;70;70;0
320;300;10;MG;140;10;10;25000;30;20;40;40;70;70;70;50;70;30;70;70;30;30;10;20;20;30;30;20;20;20;40;10;10;10;10;10;0;50;960;3;70;70;3,33333E+15
321;450;10;PE;160;0;10;65000;30;10;60;60;60;40;30;70;70;60;60;70;40;30;30;50;40;50;10;20;40;30;10;10;10;0;0;0;0;20;975;3;70;70;6,66667E+15
322;650;10;PR;180;10;0;45000;20;10;70;70;70;70;70;70;40;40;70;10;30;30;40;40;30;50;40;50;20;10;10;10;0;0;0;10;0;20;970;3;70;70;5
323;510;10;RJ;110;10;0;15000;20;0;70;50;70;40;20;40;40;30;20;70;40;30;50;40;20;50;30;40;40;30;40;10;0;0;10;10;0;30;855;3;70;70;10
324;700;10;SP;120;10;0;25000;10;0;70;70;70;70;70;60;50;70;70;70;50;10;30;50;20;20;40;20;40;40;30;10;0;0;0;0;0;10;1120;3;70;70;10
325;650;10;SP;160;10;10;100000;20;0;70;20;30;40;50;60;40;40;50;70;50;50;50;50;30;50;50;50;50;30;50;10;0;0;10;10;0;30;820;3;70;70;10
326;540;10;RJ;160;0;0;15000;20;10;70;50;40;70;70;70;70;70;70;40;40;30;50;50;30;30;50;40;50;30;30;10;0;0;0;0;0;10;1015;3;70;70;5
327;260;0;BA;160;10;10;100000;30;30;70;40;70;30;30;70;20;70;70;70;30;10;30;40;20;40;20;40;40;20;10;0;10;0;0;10;0;20;1040;3;70;70;0
328;350;0;BA;160;10;10;15000;40;20;70;10;70;70;10;10;10;0;70;70;30;20;30;40;20;30;40;30;40;10;10;10;0;0;0;0;0;10;580;3;70;20;5
329;390;10;RJ;160;10;10;25000;30;20;50;30;0;50;70;20;70;60;30;50;30;20;40;40;20;40;30;40;40;20;40;10;10;0;10;0;0;30;820;3;70;70;3,33333E+15
330;530;10;SP;220;0;10;80000;20;20;70;30;70;70;70;70;0;70;70;70;40;40;50;40;20;50;40;40;40;20;50;10;0;0;0;0;0;10;1120;3;70;70;0
331;670;10;SP;140;0;0;65000;40;40;70;60;40;70;40;50;30;70;70;70;40;40;30;40;30;30;40;30;40;10;20;0;0;0;0;10;0;10;1000;3;70;70;0
332;450;10;RJ;140;0;0;25000;30;10;70;70;70;70;50;70;70;70;20;20;40;30;40;30;20;30;50;50;30;30;10;10;0;0;0;0;0;10;1050;3;70;70;6,66667E+15
